title,movie_id,crew,tags
avatar,19995,James Cameron,"action, adventure, fantasy, scienc fictioncultur clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier, battle, love affair, anti war, power relations, mind and soul, 3din the 22nd century, a parapleg marin is dispatch to the moon pandora on a uniqu mission, but becom torn between follow order and protect an alien civilization.sam worthington, zoe saldana, sigourney weaver"
pirates of the caribbean: at world's end,285,Gore Verbinski,"adventure, fantasy, actionocean, drug abuse, exot island, east india trade company, love of one' life, traitor, shipwreck, strong woman, ship, alliance, calypso, afterlife, fighter, pirate, swashbuckler, aftercreditsstingercaptain barbossa, long believ to be dead, ha come back to life and is head to the edg of the earth with will turner and elizabeth swann. but noth is quit as it seems.johnni depp, orlando bloom, keira knightley"
spectre,206647,Sam Mendes,"action, adventure, crimespy, base on novel, secret agent, sequel, mi6, british secret service, unit kingdoma cryptic messag from bond’ past send him on a trail to uncov a sinist organization. while m battl polit forc to keep the secret servic alive, bond peel back the layer of deceit to reveal the terribl truth behind spectre.daniel craig, christoph waltz, léa seydoux"
the dark knight rises,49026,Christopher Nolan,"action, crime, drama, thrillerdc comics, crime fighter, terrorist, secret identity, burglar, hostag drama, time bomb, gotham city, vigilante, cover-up, superhero, villainess, tragic hero, terrorism, destruction, catwoman, cat burglar, imax, flood, crimin underworld, batmanfollow the death of district attorney harvey dent, batman assum respons for dent' crime to protect the late attorney' reput and is subsequ hunt by the gotham citi polic department. eight year later, batman encount the mysteri selina kyle and the villain bane, a new terrorist leader who overwhelm gotham' finest. the dark knight resurfac to protect a citi that ha brand him an enemy.christian bale, michael caine, gari oldman"
john carter,49529,Andrew Stanton,"action, adventure, scienc fictionbas on novel, mars, medallion, space travel, princess, alien, steampunk, martian, escape, edgar rice burroughs, alien race, superhuman strength, mar civilization, sword and planet, 19th century, 3djohn carter is a war-weary, former militari captain who' inexplic transport to the mysteri and exot planet of barsoom (mars) and reluctantli becom embroil in an epic conflict. it' a world on the brink of collapse, and carter rediscov hi human when he realiz the surviv of barsoom and it peopl rest in hi hands.taylor kitsch, lynn collins, samantha morton"
spider-man 3,559,Sam Raimi,"fantasy, action, adventuredu identity, amnesia, sandstorm, love of one' life, forgiveness, spider, wretch, death of a friend, egomania, sand, narcism, hostility, marvel comic, sequel, superhero, revengeth seemingli invinc spider-man goe up against an all-new crop of villain – includ the shape-shift sandman. while spider-man’ superpow are alter by an alien organism, hi alter ego, peter parker, deal with nemesi eddi brock and also get caught up in a love triangle.tobey maguire, kirsten dunst, jame franco"
tangled,38757,"Byron Howard, Nathan Greno","animation, familyhostage, magic, horse, fairi tale, musical, princess, animation, tower, blond woman, selfishness, heal power, base on fairi tale, duringcreditsstinger, heal gift, anim sidekickwhen the kingdom' most wanted-and most charming-bandit flynn rider hide out in a mysteri tower, he' taken hostag by rapunzel, a beauti and feisti tower-bound teen with 70 feet of magical, golden hair. flynn' curiou captor, who' look for her ticket out of the tower where she' been lock away for years, strike a deal with the handsom thief and the unlik duo set off on an action-pack escapade, complet with a super-cop horse, an over-protect chameleon and a gruff gang of pub thugs.zachari levi, mandi moore, donna murphi"
avengers: age of ultron,99861,Joss Whedon,"action, adventure, scienc fictionmarvel comic, sequel, superhero, base on comic book, vision, superhero team, duringcreditsstinger, marvel cinemat universe, 3dwhen toni stark tri to jumpstart a dormant peacekeep program, thing go awri and earth’ mightiest hero are put to the ultim test as the fate of the planet hang in the balance. as the villain ultron emerges, it is up to the aveng to stop him from enact hi terribl plans, and soon uneasi allianc and unexpect action pave the way for an epic and uniqu global adventure.robert downey jr., chri hemsworth, mark ruffalo"
harry potter and the half-blood prince,767,David Yates,"adventure, fantasy, familywitch, magic, broom, school of witchcraft, wizardry, apparition, teenag crush, werewolfa harri begin hi sixth year at hogwarts, he discov an old book mark as 'properti of the half-blood prince', and begin to learn more about lord voldemort' dark past.daniel radcliffe, rupert grint, emma watson"
batman v superman: dawn of justice,209112,Zack Snyder,"action, adventure, fantasydc comics, vigilante, superhero, base on comic book, revenge, super powers, clark kent, bruce wayne, dc extend universefear the action of a god-lik super hero left unchecked, gotham city’ own formidable, forc vigilant take on metropolis’ most revered, modern-day savior, while the world wrestl with what sort of hero it realli needs. and with batman and superman at war with one another, a new threat quickli arises, put mankind in greater danger than it’ ever known before.ben affleck, henri cavill, gal gadot"
